LSOA11_CD,trips_per_day
E01000970,2122.00
E01000971,714.00
E01000972,6921.00
E01000973,5942.00
E01000975,4902.00
E01000976,3832.00
E01000977,3376.00
E01000978,1146.00
E01000979,2628.00
E01000980,1074.00
E01000981,713.00
E01000982,239.00
E01000983,734.00
E01000984,715.00
E01000985,3840.00
E01000986,4056.00
E01000987,1352.00
E01000989,1208.00
E01000990,615.00
E01000991,1212.00
E01000992,4208.00
E01000993,1806.00
E01000994,673.00
E01000995,2601.00
E01000997,1394.00
E01000998,671.00
E01001000,3256.00
E01001002,1394.00
E01001003,875.00
E01001004,582.00
E01001005,2244.00
E01001006,3761.00
E01001007,768.00
E01001008,1706.00
E01001009,2244.00
E01001010,3917.00
E01001011,7201.00
E01001013,6968.00
E01001014,10586.00
E01001015,2557.00
E01001016,2895.00
E01001018,3702.00
E01001019,3185.00
E01001020,2265.00
E01001021,2132.00
E01001022,845.00
E01001023,10550.00
E01001024,2785.00
E01001025,2999.00
E01001026,1414.00
E01001027,1694.00
E01001028,2641.00
E01001029,5175.00
E01001030,1612.00
E01001031,1894.00
E01001032,1140.00
E01001033,2763.00
E01001034,1652.00
E01001035,3367.00
E01001036,3081.00
E01001037,6473.00
E01001038,680.00
E01001039,1320.00
E01001040,2442.00
E01001041,5755.00
E01001042,252.00
E01001043,27438.00
E01001044,2029.00
E01001045,14474.00
E01001046,1349.00
E01001047,2336.00
E01001048,22859.00
E01001049,3953.00
E01001050,6336.00
E01001051,3803.00
E01001052,3822.00
E01001053,3937.00
E01001054,2571.00
E01001055,2677.00
E01001057,1636.00
E01001058,1423.00
E01001059,842.00
E01001060,2357.00
E01001061,1858.00
E01001062,5123.00
E01001063,3782.00
E01001064,10211.00
E01001065,6997.00
E01001066,2006.00
E01001067,944.00
E01001068,2220.00
E01001069,788.00
E01001070,1787.00
E01001071,1977.00
E01001073,1885.00
E01001074,6614.00
E01001075,2149.00
E01001076,1914.00
E01001077,2348.00
E01001078,3086.00
E01001079,3814.00
E01001080,4334.00
E01001081,3438.00
E01001082,2043.00
E01001083,1446.00
E01001084,2878.00
E01001085,2401.00
E01001086,225.00
E01001087,3190.00
E01001089,1672.00
E01001090,953.00
E01001092,1079.00
E01001093,4228.00
E01001094,1332.00
E01001095,7142.00
E01001096,155.00
E01001097,14185.00
E01001098,188.00
E01001099,1372.00
E01001101,183.00
E01001102,4135.00
E01001103,2066.00
E01001104,1672.00
E01001105,1238.00
E01001106,1240.00
E01001107,1550.00
E01001108,1238.00
E01001109,2352.00
E01001110,3284.00
E01001111,2964.00
E01001112,2312.00
E01001113,1176.00
E01001114,1116.00
E01001115,582.00
E01001116,2849.00
E01001117,2225.00
E01001118,3745.00
E01001119,1473.00
E01001120,545.00
E01001121,1778.00
E01001122,6065.00
E01001123,538.00
E01001124,1228.00
E01001125,5875.00
E01001126,966.00
E01001127,656.00
E01001128,637.00
E01001129,1098.00
E01001130,638.00
E01001132,1214.00
E01001133,2272.00
E01001134,3810.00
E01001135,5561.00
E01001136,5436.00
E01001137,3699.00
E01001138,1348.00
E01001139,1921.00
E01001140,2947.00
E01001141,263.00
E01001142,2488.00
E01001143,2479.00
E01001144,292.00
E01001145,3676.00
E01001147,2419.00
E01001148,578.00
E01001149,624.00
E01001150,959.00
E01001151,1449.00
E01001152,2129.00
E01001154,727.00
E01001155,6022.00
E01001156,2679.00
E01001157,1449.00
E01001158,2425.00
E01001159,3083.00
E01001160,774.00
E01001161,484.00
E01001162,5571.00
E01001163,5002.00
E01001164,5027.00
E01001165,5843.00
E01001166,3452.00
E01001167,6306.00
E01001168,1772.00
E01001169,543.00
E01001170,7941.00
E01001171,1883.00
E01001172,2929.00
E01001173,6738.00
E01001175,3619.00
E01001176,844.00
E01001177,1158.00
E01001178,6987.00
E01001179,215.00
E01001180,1399.00
E01001182,1253.00
E01001183,4841.00
E01001184,782.00
E01001185,1475.00
E01001186,3056.00
E01001187,274.00
E01001190,319.00
E01001191,2691.00
E01001193,1337.00
E01001194,83.00
E01001195,3987.00
E01001196,1605.00
E01001197,1725.00
E01001199,3217.00
E01001202,4992.00
E01001204,862.00
E01001205,781.00
E01001206,771.00
E01001207,938.00
E01001208,3719.00
E01001209,1181.00
E01001210,3618.00
E01001211,1768.00
E01001212,2483.00
E01001213,2131.00
E01001214,4314.00
E01001215,4252.00
E01001216,1974.00
E01001218,870.00
E01001219,426.00
E01001220,7765.00
E01001221,12178.00
E01001222,5396.00
E01001224,215.00
E01001225,10265.00
E01001226,4995.00
E01001227,440.00
E01001228,2521.00
E01001229,379.00
E01001230,296.00
E01001231,1780.00
E01001232,379.00
E01001233,886.00
E01001234,3873.00
E01001235,2043.00
E01001236,296.00
E01001237,257.00
E01001238,12860.00
E01001239,5152.00
E01001240,4779.00
E01001241,3230.00
E01001242,1907.00
E01001243,5722.00
E01001244,4861.00
E01001245,2285.00
E01001246,11488.00
E01001247,12012.00
E01001248,2596.00
E01001249,3270.00
E01001250,4323.00
E01001252,4085.00
E01001253,1038.00
E01001254,2827.00
E01001257,1375.00
E01001258,2366.00
E01001259,4546.00
E01001260,1200.00
E01001261,13081.00
E01001262,2151.00
E01001263,863.00
E01001264,346.00
E01001266,1645.00
E01001267,2748.00
E01001268,1894.00
E01001269,1762.00
E01001271,863.00
E01001272,8786.00
E01001273,1394.00
E01001275,1579.00
E01001276,1778.00
E01001277,3346.00
E01001278,6337.00
E01001280,661.00
E01001281,594.00
E01001282,386.00
E01001283,7678.00
E01001284,1202.00
E01001285,1459.00
E01001286,514.00
E01001288,1202.00
E01001289,524.00
E01001290,678.00
E01001291,1111.00
E01001293,1667.00
E01001294,1227.00
E01001295,1111.00
E01001296,1111.00
E01001297,1402.00
E01001298,1006.00
E01001299,1036.00
E01001301,1345.00
E01001302,2191.00
E01001303,5367.00
E01001308,2311.00
E01001309,202.00
E01001310,973.00
E01001311,1207.00
E01001312,2310.00
E01001313,751.00
E01001314,378.00
E01001315,1068.00
E01001316,1691.00
E01001317,1160.00
E01001318,1077.00
E01001321,1209.00
E01001322,6356.00
E01001323,6613.00
E01001324,2174.00
E01001325,494.00
E01001326,2174.00
E01001327,2632.00
E01001328,5574.00
E01001329,1349.00
E01001330,928.00
E01001331,351.00
E01001332,2070.00
E01001333,3282.00
E01001334,1917.00
E01001335,237.00
E01001336,739.00
E01001337,7741.00
E01001338,4892.00
E01001339,1222.00
E01001340,80.00
E01001341,1050.00
E01001342,256.00
E01001343,525.00
E01001344,2901.00
E01001345,525.00
E01001346,199.00
E01001347,1019.00
E01001348,3654.00
E01001349,859.00
E01001350,576.00
E01001351,4049.00
E01001352,3212.00
E01001353,1472.00
E01001354,5540.00
E01001355,9704.00
E01001357,612.00
E01001358,10648.00
E01001359,1905.00
E01001361,10220.00
E01001362,1543.00
E01001363,1846.00
E01001367,6131.00
E01001369,2928.00
E01001370,2155.00
E01001371,2160.00
E01001375,755.00
E01001376,1510.00
E01001377,1134.00
E01001380,1121.00
E01001381,7213.00
E01001384,1473.00
E01001385,737.00
E01001386,588.00
E01001387,1966.00
E01001388,7405.00
E01001389,1813.00
E01001390,3545.00
E01001391,1107.00
E01001393,2258.00
E01001394,4949.00
E01001395,252.00
E01001396,3137.00
E01001397,3987.00
E01001398,768.00
E01001399,1559.00
E01001400,2887.00
E01001401,981.00
E01001402,2937.00
E01001403,1517.00
E01001404,1365.00
E01001405,715.00
E01001406,2125.00
E01001407,1416.00
E01001409,1113.00
E01001411,2211.00
E01001412,3434.00
E01001413,279.00
E01001415,4597.00
E01001416,537.00
E01001417,1455.00
E01001418,969.00
E01001419,4701.00
E01001420,387.00
E01001421,557.00
E01001422,71.00
E01001423,2001.00
E01001425,9661.00
E01001426,589.00
E01001427,1253.00
E01001429,17705.00
E01001430,2743.00
E01001431,295.00
E01001432,6596.00
E01001433,2467.00
E01001436,429.00
E01001437,1079.00
E01001438,867.00
E01001439,5765.00
E01001440,3770.00
E01001441,3169.00
E01001442,2032.00
E01001444,1879.00
E01001445,2379.00
E01001446,906.00
E01001447,548.00
E01001448,258.00
E01001449,521.00
E01001450,10383.00
E01001451,755.00
E01001453,1368.00
E01001454,1247.00
E01001455,3036.00
E01001456,614.00
E01001457,3208.00
E01001458,5964.00
E01001459,383.00
E01001460,764.00
E01001461,1322.00
E01001465,2491.00
E01001466,301.00
E01001468,3326.00
E01001469,1288.00
E01001470,3002.00
E01001471,397.00
E01001473,2307.00
E01001474,1941.00
E01001475,844.00
E01001476,2547.00
E01001477,1576.00
E01001478,537.00
E01001479,2415.00
E01001480,589.00
E01001481,733.00
E01001482,762.00
E01001483,247.00
E01001484,180.00
E01001485,6937.00
E01001486,1472.00
E01001487,1552.00
E01001488,884.00
E01001489,1347.00
E01001491,2068.00
E01001492,1114.00
E01001493,467.00
E01001494,505.00
E01001495,2158.00
E01001498,1970.00
E01001499,3336.00
E01001500,574.00
E01001501,5342.00
E01001502,1385.00
E01001503,2940.00
E01001504,1640.00
E01001505,1885.00
E01001506,2865.00
E01001507,8655.00
E01001508,179.00
E01001509,1393.00
E01001510,980.00
E01001511,4584.00
E01001512,6371.00
E01001513,5498.00
E01001514,1178.00
E01001515,1267.00
E01001516,2003.00
E01001517,1964.00
E01001518,6975.00
E01001519,9141.00
E01001520,645.00
E01001521,2660.00
E01001522,1350.00
E01001523,1907.00
E01001524,1157.00
E01001526,173.00
E01001527,2863.00
E01001528,5427.00
E01001529,3549.00
E01001530,1496.00
E01001532,2388.00
E01001533,768.00
E01001534,7506.00
E01001535,1242.00
E01001536,3888.00
E01001537,939.00
E01001538,898.00
E01001539,319.00
E01001540,3553.00
E01001541,247.00
E01001542,1222.00
E01001543,279.00
E01001544,3638.00
E01001545,59.00
E01001546,503.00
E01001547,1323.00
E01001548,351.00
E01001549,1550.00
E01001551,1242.00
E01001552,2581.00
E01001553,1754.00
E01001554,3194.00
E01001555,1589.00
E01001556,1235.00
E01001558,4710.00
E01001559,3755.00
E01001560,4430.00
E01001562,204.00
E01001563,1641.00
E01001564,1357.00
E01001566,564.00
E01001567,787.00
E01001568,204.00
E01001569,1201.00
E01001570,665.00
E01001571,1192.00
E01001572,2774.00
E01001573,2910.00
E01001574,2418.00
E01001575,2668.00
E01001576,1952.00
E01001577,2406.00
E01001579,1732.00
E01001580,9261.00
E01001581,8759.00
E01001582,2244.00
E01001583,2950.00
E01001584,1086.00
E01001586,768.00
E01001587,768.00
E01001588,4987.00
E01001589,470.00
E01001590,1764.00
E01001591,2476.00
E01001592,945.00
E01001593,2748.00
E01001594,1249.00
E01001595,3935.00
E01001596,1609.00
E01001597,2651.00
E01001599,1989.00
E01001600,2992.00
E01001601,1446.00
E01001602,2065.00
E01001603,1416.00
E01001604,5088.00
E01001605,1621.00
E01001606,471.00
E01001607,1661.00
E01001608,471.00
E01001609,5843.00
E01001610,750.00
E01001611,2262.00
E01001613,10618.00
E01001614,4222.00
E01001615,13535.00
E01001617,8762.00
E01001618,1731.00
E01001619,1178.00
E01001620,2724.00
E01001621,5373.00
